RestaurantID,Brand,CuisineType,Address,City,State,PostalCode,Country,Latitude,Longitude,SourceFile
LOC-003097,KFC,Chicken,7710 WISE AVE,Dundalk,MD,21222,US,39.26979,-76.5016,Datafiniti_2018
LOC-003098,McDonald's,Burgers,28670 NORTHWESTERN HWY,Southfield,MI,48034,US,42.49926,-83.30346,Datafiniti_2018
LOC-003099,McDonald's,Burgers,205 BACK RIVER NECK RD,Essex,MD,21221,US,39.30762,-76.4433,Datafiniti_2018
LOC-003100,KFC,Chicken,7306 MCCLEAN BLVD,Parkville,MD,21234,US,39.372797,-76.567488,Datafiniti_2018
LOC-003101,KFC,Chicken,71 N NELLIS BLVD,Las Vegas,NV,89110,US,36.161205,-115.062675,Datafiniti_2018
LOC-003102,KFC,Chicken,109 STATE ST,Schenectady,NY,12305,US,42.8154,-73.9471,Datafiniti_2018
LOC-003103,White Castle,Other Fast Food,2340 US HIGHWAY 34,Oswego,IL,60543,US,41.7062,-88.3041,Datafiniti_2018
LOC-003104,Panda Express,Other Fast Food,11490 SW CANYON RD,Beaverton,OR,97005,US,45.48972917,-122.794934,Datafiniti_2018
LOC-003105,Sonic,Burgers,2945 BUCKNER BLVD,Dallas,TX,75228,US,32.809238,-96.684639,Datafiniti_2018
LOC-003106,McDonald's,Burgers,8390 N STEMMONS FWY,Dallas,TX,75247,US,32.82635,-96.87129,Datafiniti_2018
LOC-003107,McDonald's,Burgers,7007 W WHEATLAND RD,Dallas,TX,75249,US,32.647333,-96.943384,Datafiniti_2018
LOC-003108,Checkers,Other Fast Food,808 N TELEGRAPH RD,Monroe,MI,48162,US,41.93285,-83.40944,Datafiniti_2018
LOC-003109,McDonald's,Burgers,542 TECUMSEH ST,Dundee,MI,48131,US,41.95949,-83.6681,Datafiniti_2018
LOC-003110,Jack in the Box,Other Fast Food,814 N VENTURA RD,Port Hueneme,CA,93041,US,34.1551,-119.1952,Datafiniti_2018
LOC-003111,McDonald's,Burgers,401 W CHANNEL ISLANDS BLVD,Port Hueneme,CA,93041,US,34.17637,-119.20885,Datafiniti_2018
LOC-003112,KFC,Chicken,351 E CHANNEL ISLANDS BLVD,Port Hueneme,CA,93041,US,34.17612,-119.19557,Datafiniti_2018
LOC-003113,McDonald's,Burgers,1741 PACIFIC AVE,Oxnard,CA,93033,US,34.18063,-119.16498,Datafiniti_2018
LOC-003114,Pizza Hut,Pizza,5062 STYERS FERRY RD,Lewisville,NC,27023,US,36.078802,-80.387508,Datafiniti_2018
LOC-003115,Pizza Hut,Pizza,3460 ROBINHOOD RD,Winston-Salem,NC,27106,US,36.117563,-80.316553,Datafiniti_2018
LOC-003116,Pizza Hut,Pizza,3069 KERNERSVILLE RD,Winston-Salem,NC,27107,US,36.077718,-80.176748,Datafiniti_2018
